idx,date,id,fatalities
31,5/2/2021,Adraskan,1
32,5/3/2021,Adraskan,1
33,5/4/2021,Adraskan,1
34,5/5/2021,Adraskan,1
35,5/6/2021,Adraskan,1
36,5/7/2021,Adraskan,1
37,5/8/2021,Adraskan,1
38,5/9/2021,Adraskan,1
39,5/10/2021,Adraskan,1
40,5/11/2021,Adraskan,1
41,5/12/2021,Adraskan,1
42,5/13/2021,Adraskan,1
43,5/14/2021,Adraskan,1
44,5/15/2021,Adraskan,2
45,5/16/2021,Adraskan,2
46,5/17/2021,Adraskan,5
47,5/18/2021,Adraskan,5
48,5/19/2021,Adraskan,9
49,5/20/2021,Adraskan,9
50,5/21/2021,Adraskan,9
51,5/22/2021,Adraskan,9
52,5/23/2021,Adraskan,9
53,5/24/2021,Adraskan,9
54,5/25/2021,Adraskan,9
55,5/26/2021,Adraskan,9
56,5/27/2021,Adraskan,9
57,5/28/2021,Adraskan,9
58,5/29/2021,Adraskan,9
59,5/30/2021,Adraskan,9
60,5/31/2021,Adraskan,9
61,6/1/2021,Adraskan,9
62,6/2/2021,Adraskan,9
63,6/3/2021,Adraskan,11
64,6/4/2021,Adraskan,11
65,6/5/2021,Adraskan,11
66,6/6/2021,Adraskan,11
67,6/7/2021,Adraskan,11
68,6/8/2021,Adraskan,11
69,6/9/2021,Adraskan,11
70,6/10/2021,Adraskan,11
71,6/11/2021,Adraskan,11
72,6/12/2021,Adraskan,11
73,6/13/2021,Adraskan,11
74,6/14/2021,Adraskan,11
75,6/15/2021,Adraskan,11
76,6/16/2021,Adraskan,11
77,6/17/2021,Adraskan,11
78,6/18/2021,Adraskan,11
79,6/19/2021,Adraskan,11
80,6/20/2021,Adraskan,11
81,6/21/2021,Adraskan,11
82,6/22/2021,Adraskan,11
83,6/23/2021,Adraskan,11
84,6/24/2021,Adraskan,11
85,6/25/2021,Adraskan,11
86,6/26/2021,Adraskan,11
87,6/27/2021,Adraskan,11
88,6/28/2021,Adraskan,11
89,6/29/2021,Adraskan,11
90,6/30/2021,Adraskan,11
91,7/1/2021,Adraskan,11
92,7/2/2021,Adraskan,11
93,7/3/2021,Adraskan,11
94,7/4/2021,Adraskan,11
95,7/5/2021,Adraskan,11
96,7/6/2021,Adraskan,11
97,7/7/2021,Adraskan,11
98,7/8/2021,Adraskan,11
99,7/9/2021,Adraskan,11
100,7/10/2021,Adraskan,11
101,7/11/2021,Adraskan,11
102,7/12/2021,Adraskan,11
103,7/13/2021,Adraskan,11
104,7/14/2021,Adraskan,11
105,7/15/2021,Adraskan,11
106,7/16/2021,Adraskan,11
107,7/17/2021,Adraskan,11
108,7/18/2021,Adraskan,11
109,7/19/2021,Adraskan,11
110,7/20/2021,Adraskan,11
111,7/21/2021,Adraskan,11
112,7/22/2021,Adraskan,24
113,7/23/2021,Adraskan,24
114,7/24/2021,Adraskan,24
115,7/25/2021,Adraskan,27
116,7/26/2021,Adraskan,27
117,7/27/2021,Adraskan,27
118,7/28/2021,Adraskan,27
119,7/29/2021,Adraskan,27
120,7/30/2021,Adraskan,27
121,7/31/2021,Adraskan,27
122,8/1/2021,Adraskan,27
123,8/2/2021,Adraskan,27
124,8/3/2021,Adraskan,47
125,8/4/2021,Adraskan,47
126,8/5/2021,Adraskan,47
127,8/6/2021,Adraskan,47
128,8/7/2021,Adraskan,47
129,8/8/2021,Adraskan,47
130,8/9/2021,Adraskan,47
131,8/10/2021,Adraskan,47
132,8/11/2021,Adraskan,47
133,8/12/2021,Adraskan,47
134,8/13/2021,Adraskan,47
135,8/14/2021,Adraskan,47
136,8/15/2021,Adraskan,47
137,8/16/2021,Adraskan,47
138,8/17/2021,Adraskan,47
139,8/18/2021,Adraskan,47
140,8/19/2021,Adraskan,47
141,8/20/2021,Adraskan,47
142,8/21/2021,Adraskan,47
143,8/22/2021,Adraskan,47
144,8/23/2021,Adraskan,47
145,8/24/2021,Adraskan,47
146,8/25/2021,Adraskan,47
147,8/26/2021,Adraskan,47
148,8/27/2021,Adraskan,47
149,8/28/2021,Adraskan,47
150,8/29/2021,Adraskan,47
151,8/30/2021,Adraskan,47
152,8/31/2021,Adraskan,47
0,4/1/2021,Ajristan,0
1,4/2/2021,Ajristan,0
2,4/3/2021,Ajristan,0
3,4/4/2021,Ajristan,0
4,4/5/2021,Ajristan,0
5,4/6/2021,Ajristan,0
6,4/7/2021,Ajristan,0
7,4/8/2021,Ajristan,0
8,4/9/2021,Ajristan,0
9,4/10/2021,Ajristan,0
10,4/11/2021,Ajristan,0
11,4/12/2021,Ajristan,0
12,4/13/2021,Ajristan,0
13,4/14/2021,Ajristan,0
14,4/15/2021,Ajristan,0
15,4/16/2021,Ajristan,0
16,4/17/2021,Ajristan,0
17,4/18/2021,Ajristan,0
18,4/19/2021,Ajristan,0
19,4/20/2021,Ajristan,0
20,4/21/2021,Ajristan,0
21,4/22/2021,Ajristan,0
22,4/23/2021,Ajristan,0
23,4/24/2021,Ajristan,0
