id,date,taliban_control,idx
Almar,7/14/2021,0,24
Almar,7/18/2021,0,25
Almar,7/22/2021,0,26
Almar,7/25/2021,0,27
Almar,8/6/2021,0,28
Almar,8/7/2021,0,29
Almar,8/8/2021,0,30
Almar,8/10/2021,0,31
Almar,8/11/2021,0,32
Almar,8/12/2021,0,33
Almar,8/13/2021,0,34
Almar,8/14/2021,0,35
Almar,8/16/2021,0,36
Anar Dara,5/11/2021,0,0
Anar Dara,5/12/2021,0,1
Anar Dara,6/7/2021,0,2
Anar Dara,6/8/2021,0,3
Anar Dara,6/12/2021,0,4
Anar Dara,6/13/2021,0,5
Anar Dara,6/14/2021,0,6
Anar Dara,6/15/2021,0,7
Anar Dara,6/20/2021,0,8
Anar Dara,6/21/2021,0,9
Anar Dara,6/23/2021,0,10
Anar Dara,6/24/2021,0,11
Anar Dara,6/25/2021,0,12
Anar Dara,6/27/2021,0,13
Anar Dara,6/29/2021,0,14
Anar Dara,6/30/2021,0,15
Anar Dara,7/3/2021,0,16
Anar Dara,7/4/2021,0,17
Anar Dara,7/5/2021,0,18
Anar Dara,7/6/2021,0,19
Anar Dara,7/10/2021,0,20
Anar Dara,7/11/2021,0,21
Anar Dara,7/12/2021,0,22
Anar Dara,7/13/2021,0,23
Anar Dara,7/14/2021,0,24
Anar Dara,7/18/2021,0,25
Anar Dara,7/22/2021,0,26
Anar Dara,7/25/2021,0,27
Anar Dara,8/6/2021,0,28
Anar Dara,8/7/2021,0,29
Anar Dara,8/8/2021,0,30
Anar Dara,8/10/2021,0,31
Anar Dara,8/11/2021,0,32
Anar Dara,8/12/2021,0,33
Anar Dara,8/13/2021,0,34
Anar Dara,8/14/2021,0,35
Anar Dara,8/16/2021,0,36
Andar,5/11/2021,0,0
Andar,5/12/2021,0,1
Andar,6/7/2021,0,2
Andar,6/8/2021,0,3
Andar,6/12/2021,0,4
Andar,6/13/2021,0,5
Andar,6/14/2021,0,6
Andar,6/15/2021,0,7
Andar,6/20/2021,0,8
Andar,6/21/2021,0,9
Andar,6/23/2021,0,10
Andar,6/24/2021,0,11
Andar,6/25/2021,0,12
Andar,6/27/2021,0,13
Andar,6/29/2021,0,14
Andar,6/30/2021,0,15
Andar,7/3/2021,0,16
Andar,7/4/2021,0,17
Andar,7/5/2021,0,18
Andar,7/6/2021,0,19
Andar,7/10/2021,0,20
Andar,7/11/2021,0,21
Andar,7/12/2021,0,22
Andar,7/13/2021,0,23
Andar,7/14/2021,0,24
Andar,7/18/2021,0,25
Andar,7/22/2021,0,26
Andar,7/25/2021,0,27
Andar,8/6/2021,0,28
Andar,8/7/2021,0,29
Andar,8/8/2021,0,30
Andar,8/10/2021,0,31
Andar,8/11/2021,0,32
Andar,8/12/2021,0,33
Andar,8/13/2021,0,34
Andar,8/14/2021,0,35
Andar,8/16/2021,0,36
Andarab,5/11/2021,0,0
Andarab,5/12/2021,0,1
Andarab,6/7/2021,0,2
Andarab,6/8/2021,0,3
Andarab,6/12/2021,0,4
Andarab,6/13/2021,0,5
Andarab,6/14/2021,0,6
Andarab,6/15/2021,0,7
Andarab,6/20/2021,0,8
Andarab,6/21/2021,0,9
Andarab,6/23/2021,0,10
Andarab,6/24/2021,0,11
Andarab,6/25/2021,0,12
Andarab,6/27/2021,0,13
Andarab,6/29/2021,0,14
Andarab,6/30/2021,0,15
Andarab,7/3/2021,0,16
Andarab,7/4/2021,0,17
Andarab,7/5/2021,0,18
Andarab,7/6/2021,0,19
Andarab,7/10/2021,0,20
Andarab,7/11/2021,0,21
Andarab,7/12/2021,0,22
Andarab,7/13/2021,0,23
Andarab,7/14/2021,0,24
Andarab,7/18/2021,0,25
Andarab,7/22/2021,0,26
Andarab,7/25/2021,0,27
Andarab,8/6/2021,0,28
Andarab,8/7/2021,0,29
Andarab,8/8/2021,0,30
Andarab,8/10/2021,0,31
Andarab,8/11/2021,0,32
Andarab,8/12/2021,0,33
Andarab,8/13/2021,0,34
Andarab,8/14/2021,0,35
Andarab,8/16/2021,0,36
Andkhoy,5/11/2021,0,0
Andkhoy,5/12/2021,0,1
Andkhoy,6/7/2021,0,2
Andkhoy,6/8/2021,0,3
Andkhoy,6/12/2021,0,4
Andkhoy,6/13/2021,0,5
Andkhoy,6/14/2021,0,6
Andkhoy,6/15/2021,0,7
Andkhoy,6/20/2021,0,8
Andkhoy,6/21/2021,0,9
Andkhoy,6/23/2021,0,10
Andkhoy,6/24/2021,0,11
Andkhoy,6/25/2021,0,12
Andkhoy,6/27/2021,0,13
Andkhoy,6/29/2021,0,14
Andkhoy,6/30/2021,0,15
Andkhoy,7/3/2021,0,16
Andkhoy,7/4/2021,0,17
Andkhoy,7/5/2021,0,18
Andkhoy,7/6/2021,0,19
Andkhoy,7/10/2021,0,20
Andkhoy,7/11/2021,0,21
Andkhoy,7/12/2021,0,22
Andkhoy,7/13/2021,0,23
Andkhoy,7/14/2021,0,24
Andkhoy,7/18/2021,0,25
Andkhoy,7/22/2021,0,26
Andkhoy,7/25/2021,0,27
Andkhoy,8/6/2021,0,28
Andkhoy,8/7/2021,0,29
Andkhoy,8/8/2021,0,30
Andkhoy,8/10/2021,0,31
Andkhoy,8/11/2021,0,32
Andkhoy,8/12/2021,0,33
Andkhoy,8/13/2021,0,34
Andkhoy,8/14/2021,0,35
Andkhoy,8/16/2021,0,36
Aqcha,5/11/2021,0,0
Aqcha,5/12/2021,0,1
Aqcha,6/7/2021,0,2
Aqcha,6/8/2021,0,3
Aqcha,6/12/2021,0,4
Aqcha,6/13/2021,0,5
Aqcha,6/14/2021,0,6
Aqcha,6/15/2021,0,7
Aqcha,6/20/2021,0,8
Aqcha,6/21/2021,1,9
Aqcha,6/23/2021,1,10
Aqcha,6/24/2021,1,11
Aqcha,6/25/2021,1,12
Aqcha,6/27/2021,1,13
Aqcha,6/29/2021,1,14
Aqcha,6/30/2021,1,15
Aqcha,7/3/2021,1,16
Aqcha,7/4/2021,1,17
Aqcha,7/5/2021,1,18
Aqcha,7/6/2021,1,19
Aqcha,7/10/2021,1,20
Aqcha,7/11/2021,1,21
Aqcha,7/12/2021,1,22
Aqcha,7/13/2021,1,23
Aqcha,7/14/2021,1,24
Aqcha,7/18/2021,1,25
Aqcha,7/22/2021,1,26
Aqcha,7/25/2021,1,27
Aqcha,8/6/2021,1,28
Aqcha,8/7/2021,1,29
Aqcha,8/8/2021,1,30
Aqcha,8/10/2021,1,31
Aqcha,8/11/2021,1,32
Aqcha,8/12/2021,1,33
Aqcha,8/13/2021,1,34
Aqcha,8/14/2021,1,35
Aqcha,8/16/2021,1,36
Archi,5/11/2021,0,0
Archi,5/12/2021,0,1
Archi,6/7/2021,0,2
Archi,6/8/2021,0,3
Archi,6/12/2021,0,4
Archi,6/13/2021,0,5
Archi,6/14/2021,0,6
Archi,6/15/2021,0,7
Archi,6/20/2021,0,8
Archi,6/21/2021,0,9
Archi,6/23/2021,0,10
Archi,6/24/2021,0,11
Archi,6/25/2021,0,12
Archi,6/27/2021,0,13
Archi,6/29/2021,0,14
Archi,6/30/2021,0,15
Archi,7/3/2021,0,16
Archi,7/4/2021,1,17
Archi,7/5/2021,1,18
Archi,7/6/2021,1,19
Archi,7/10/2021,1,20
Archi,7/11/2021,1,21
Archi,7/12/2021,1,22
Archi,7/13/2021,1,23
Archi,7/14/2021,1,24
Archi,7/18/2021,1,25
Archi,7/22/2021,1,26
Archi,7/25/2021,1,27
Archi,8/6/2021,1,28
Archi,8/7/2021,1,29
Archi,8/8/2021,1,30
Archi,8/10/2021,1,31
Archi,8/11/2021,1,32
Archi,8/12/2021,1,33
Archi,8/13/2021,1,34
Archi,8/14/2021,1,35
Archi,8/16/2021,1,36
Arghandab,5/11/2021,0,0
Arghandab,5/12/2021,0,1
Arghandab,6/7/2021,0,2
Arghandab,6/8/2021,0,3
Arghandab,6/12/2021,0,4
Arghandab,6/13/2021,0,5
Arghandab,6/14/2021,0,6
Arghandab,6/15/2021,0,7
Arghandab,6/20/2021,0,8
Arghandab,6/21/2021,0,9
Arghandab,6/23/2021,0,10
Arghandab,6/24/2021,0,11
Arghandab,6/25/2021,0,12
Arghandab,6/27/2021,0,13
Arghandab,6/29/2021,0,14
Arghandab,6/30/2021,0,15
Arghandab,7/3/2021,0,16
Arghandab,7/4/2021,0,17
Arghandab,7/5/2021,0,18
Arghandab,7/6/2021,0,19
Arghandab,7/10/2021,0,20
Arghandab,7/11/2021,0,21
Arghandab,7/12/2021,0,22
Arghandab,7/13/2021,0,23
Arghandab,7/14/2021,0,24
Arghandab,7/18/2021,0,25
Arghandab,7/22/2021,0,26
Arghandab,7/25/2021,0,27
Arghandab,8/6/2021,0,28
Arghandab,8/7/2021,0,29
Arghandab,8/8/2021,0,30
Arghandab,8/10/2021,0,31
Arghandab,8/11/2021,0,32
Arghandab,8/12/2021,0,33
Arghandab,8/13/2021,0,34
Arghandab,8/14/2021,0,35
Arghandab,8/16/2021,0,36
Arghistan,5/11/2021,0,0
Arghistan,5/12/2021,0,1
Arghistan,6/7/2021,0,2
Arghistan,6/8/2021,0,3
Arghistan,6/12/2021,0,4
Arghistan,6/13/2021,0,5
Arghistan,6/14/2021,1,6
Arghistan,6/15/2021,1,7
Arghistan,6/20/2021,1,8
Arghistan,6/21/2021,1,9
Arghistan,6/23/2021,1,10
Arghistan,6/24/2021,1,11
Arghistan,6/25/2021,1,12
Arghistan,6/27/2021,1,13
Arghistan,6/29/2021,1,14
Arghistan,6/30/2021,1,15
Arghistan,7/3/2021,1,16
Arghistan,7/4/2021,1,17
Arghistan,7/5/2021,1,18
Arghistan,7/6/2021,1,19
Arghistan,7/10/2021,1,20
Arghistan,7/11/2021,1,21
Arghistan,7/12/2021,1,22
Arghistan,7/13/2021,1,23
Arghistan,7/14/2021,1,24
Arghistan,7/18/2021,1,25
Arghistan,7/22/2021,1,26
Arghistan,7/25/2021,1,27
Arghistan,8/6/2021,1,28
Arghistan,8/7/2021,1,29
Arghistan,8/8/2021,1,30
Arghistan,8/10/2021,1,31
Arghistan,8/11/2021,1,32
Arghistan,8/12/2021,1,33
Arghistan,8/13/2021,1,34
Arghistan,8/14/2021,1,35
Arghistan,8/16/2021,1,36
Asadabad,5/11/2021,0,0
Asadabad,5/12/2021,0,1
Asadabad,6/7/2021,0,2
Asadabad,6/8/2021,0,3
Asadabad,6/12/2021,0,4
Asadabad,6/13/2021,0,5
Asadabad,6/14/2021,0,6
Asadabad,6/15/2021,0,7
Asadabad,6/20/2021,0,8
Asadabad,6/21/2021,0,9
Asadabad,6/23/2021,0,10
Asadabad,6/24/2021,0,11
Asadabad,6/25/2021,0,12
Asadabad,6/27/2021,0,13
Asadabad,6/29/2021,0,14
Asadabad,6/30/2021,0,15
Asadabad,7/3/2021,0,16
Asadabad,7/4/2021,0,17
Asadabad,7/5/2021,0,18
Asadabad,7/6/2021,0,19
Asadabad,7/10/2021,0,20
Asadabad,7/11/2021,0,21
Asadabad,7/12/2021,0,22
Asadabad,7/13/2021,0,23
Asadabad,7/14/2021,0,24
Asadabad,7/18/2021,0,25
Asadabad,7/22/2021,0,26
Asadabad,7/25/2021,0,27
Asadabad,8/6/2021,0,28
Asadabad,8/7/2021,0,29
Asadabad,8/8/2021,0,30
Asadabad,8/10/2021,0,31
Asadabad,8/11/2021,0,32
Asadabad,8/12/2021,0,33
Asadabad,8/13/2021,0,34
Asadabad,8/14/2021,0,35
Asadabad,8/16/2021,0,36
Atghar,5/11/2021,0,0
Atghar,5/12/2021,0,1
Atghar,6/7/2021,0,2
Atghar,6/8/2021,0,3
Atghar,6/12/2021,0,4
Atghar,6/13/2021,0,5
Atghar,6/14/2021,0,6
Atghar,6/15/2021,0,7
Atghar,6/20/2021,0,8
Atghar,6/21/2021,0,9
Atghar,6/23/2021,0,10
Atghar,6/24/2021,0,11
Atghar,6/25/2021,0,12
Atghar,6/27/2021,0,13
Atghar,6/29/2021,0,14
Atghar,6/30/2021,0,15
Atghar,7/3/2021,0,16
Atghar,7/4/2021,0,17
Atghar,7/5/2021,0,18
Atghar,7/6/2021,0,19
Atghar,7/10/2021,0,20
Atghar,7/11/2021,0,21
Atghar,7/12/2021,0,22
Atghar,7/13/2021,0,23
Atghar,7/14/2021,0,24
Atghar,7/18/2021,0,25
Atghar,7/22/2021,0,26
Atghar,7/25/2021,0,27
Atghar,8/6/2021,0,28
Atghar,8/7/2021,0,29
Atghar,8/8/2021,0,30
Atghar,8/10/2021,0,31
Atghar,8/11/2021,0,32
Atghar,8/12/2021,0,33
Atghar,8/13/2021,0,34
Atghar,8/14/2021,0,35
Atghar,8/16/2021,0,36
Aybak,5/11/2021,0,0
Aybak,5/12/2021,0,1
Aybak,6/7/2021,0,2
Aybak,6/8/2021,0,3
Aybak,6/12/2021,0,4
Aybak,6/13/2021,0,5
Aybak,6/14/2021,0,6
Aybak,6/15/2021,0,7
Aybak,6/20/2021,0,8
Aybak,6/21/2021,0,9
Aybak,6/23/2021,0,10
Aybak,6/24/2021,0,11
Aybak,6/25/2021,0,12
Aybak,6/27/2021,0,13
Aybak,6/29/2021,0,14
Aybak,6/30/2021,0,15
Aybak,7/3/2021,0,16
Aybak,7/4/2021,0,17
Aybak,7/5/2021,0,18
Aybak,7/6/2021,0,19
Aybak,7/10/2021,0,20
Aybak,7/11/2021,0,21
Aybak,7/12/2021,0,22
Aybak,7/13/2021,0,23
Aybak,7/14/2021,0,24
Aybak,7/18/2021,0,25
Aybak,7/22/2021,0,26
Aybak,7/25/2021,0,27
Aybak,8/6/2021,0,28
Aybak,8/7/2021,0,29
Aybak,8/8/2021,0,30
Aybak,8/10/2021,1,31
Aybak,8/11/2021,1,32
Aybak,8/12/2021,1,33
Aybak,8/13/2021,1,34
Aybak,8/14/2021,1,35
Aybak,8/16/2021,1,36
Azra,5/11/2021,0,0
Azra,5/12/2021,0,1
Azra,6/7/2021,0,2
Azra,6/8/2021,0,3
Azra,6/12/2021,0,4
Azra,6/13/2021,0,5
Azra,6/14/2021,0,6
Azra,6/15/2021,0,7
Azra,6/20/2021,0,8
Azra,6/21/2021,0,9
Azra,6/23/2021,0,10
Azra,6/24/2021,1,11
Azra,6/25/2021,1,12
Azra,6/27/2021,1,13
Azra,6/29/2021,1,14
Azra,6/30/2021,1,15
Azra,7/3/2021,1,16
Azra,7/4/2021,1,17
Azra,7/5/2021,1,18
Azra,7/6/2021,1,19
Azra,7/10/2021,1,20
Azra,7/11/2021,1,21
Azra,7/12/2021,1,22
Azra,7/13/2021,1,23
Azra,7/14/2021,1,24
Azra,7/18/2021,1,25
Azra,7/22/2021,1,26
Azra,7/25/2021,1,27
Azra,8/6/2021,1,28
Azra,8/7/2021,1,29
Azra,8/8/2021,1,30
Azra,8/10/2021,1,31
Azra,8/11/2021,1,32
Azra,8/12/2021,1,33
Azra,8/13/2021,1,34
Azra,8/14/2021,1,35
Azra,8/16/2021,1,36
Baghlan,5/11/2021,0,0
Baghlan,5/12/2021,0,1
Baghlan,6/7/2021,0,2
Baghlan,6/8/2021,0,3
Baghlan,6/12/2021,0,4
Baghlan,6/13/2021,0,5
Baghlan,6/14/2021,0,6
Baghlan,6/15/2021,0,7
Baghlan,6/20/2021,0,8
Baghlan,6/21/2021,0,9
Baghlan,6/23/2021,0,10
Baghlan,6/24/2021,0,11
Baghlan,6/25/2021,0,12
Baghlan,6/27/2021,0,13
Baghlan,6/29/2021,0,14
Baghlan,6/30/2021,0,15
Baghlan,7/3/2021,0,16
Baghlan,7/4/2021,0,17
Baghlan,7/5/2021,0,18
Baghlan,7/6/2021,0,19
Baghlan,7/10/2021,0,20
Baghlan,7/11/2021,0,21
Baghlan,7/12/2021,0,22
Baghlan,7/13/2021,0,23
Baghlan,7/14/2021,0,24
Baghlan,7/18/2021,0,25
Baghlan,7/22/2021,0,26
Baghlan,7/25/2021,0,27
Baghlan,8/6/2021,0,28
Baghlan,8/7/2021,0,29
Baghlan,8/8/2021,0,30
Baghlan,8/10/2021,0,31
