date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2021-02-22,2021,Multisector humanitarian response in Africa MC,1577287,"Canada, Government of",Government,CAN,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,Multi-sector,"AFG,ARM,AZE,BGD,BTN,CYP,GEO,IDN,IND,IRN,IRQ,KAZ,KGZ,KHM,NPL,PAK,PHL,TJK,UZB,YEM",,,,2022,2022,financial,Standard,Traditional aid,incoming,shared,paid,2022-05-11,2021-02-22,,2000000,CAD,1.268,252098,P010188001,2022-05-17,2022-05-17
2021-01-19,,Support UNICEF’s nutrition in emergencies response,2347418,"Canada, Government of",Government,CAN,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,United Nations Children's Fund,UN agency,Nutrition,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-02-02,2021-01-19,,3000000,CAD,1.278,246739,P010810,2022-02-15,2022-02-15
2021-01-01,2021,To provide humanitarian assistance and protection to affected populations in Afghanistan,582751,"Luxembourg, Government of",Government,LUX,2021,2021,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,AFG,,,Afghanistan Complex Emergency August 2021,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-12-06,2021-01-01,,500000,EUR,0.858,244694,ICRC/2021,2021-12-07,2022-02-07
2021-01-01,,Mitigating the Health effects of COVID-19 Emergency in Afghanistan,11285000,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),Inter-governmental,,2021,2021,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,World Health Organization,UN agency,Health,AFG,,,Coronavirus disease Outbreak - COVID -19,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-08-10,2021-01-01,,9287555,EUR,0.823,257178,Award No: 71358   ACA/2020/420-356,2022-08-15,2022-08-15
2020-09-01,2020,A Road to Decent Jobs for All Afghans (R2J4A),72353,"United States of America, Government of",Government,USA,2021,2021,,,,International Labour Organization,UN agency,,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2021-07-09,2020-09-01,USA/BPRM,,,,250947,SPRMCO20VC0191,2022-04-28,2022-08-11
2020-04-30,,"Education Cannot Wait (ECW), Multiyear 2020 -2022, total amount CHF 900,000 (7F-10354.01)",0,"Switzerland, Government of",Government,CHE,2020,2020,,,,United Nations Children's Fund,UN agency,Education,AFG,,,,2020,2022,financial,Parked,Traditional aid,incoming,shared,commitment,2020-05-07,,Multiyear,0,CHF,0.957,210104,7F-10354.01,2020-05-13,2021-06-07
2020-04-30,,"Education Cannot Wait (ECW), Multiyear 2020 -2022, 2022 portion,  total amount CHF 400,000 (7F-10354.01)",417973,"Switzerland, Government of",Government,CHE,2020,2020,,,,United Nations Children's Fund,UN agency,Education,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2020-05-07,,Multiyear,400000,CHF,0.957,210107,7F-10354.01,2020-05-13,2020-05-13
2020-01-08,,Joint needs assessment for life saving assistance and evaluation of UK Aid (whole of Afghanistan-Muti-Sector Needs Assessment),37677,"United Kingdom, Government of",Government,GBR,2019,2023,,,,Agency for Technical Cooperation and Development,NGO,,AFG,,,,2019,2023,financial,Parked,Traditional aid,incoming,shared,paid,2019-08-25,,Multiyear,31197,GBP,0.828,197201,300420-105,2020-01-10,2022-07-13
2019-08-25,,Local NGO Capacity Building,0,"United Kingdom, Government of",Government,GBR,2019,2023,,,,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,AFG,,,,2019,2023,financial,Parked,Cash transfer programming (CTP),incoming,shared,commitment,2019-08-25,2019-08-01,Multiyear,0,GBP,0.822,197195,300420-104,2019-08-26,2021-01-12
2019-08-25,,Local NGO Capacity Building,673391,"United Kingdom, Government of",Government,GBR,2022,2022,,,,ACBAR - Agency Coordinating Body for Afghan Relief,NGO,,AFG,,,,2022,2022,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2019-08-25,2019-08-01,Multiyear,553527,GBP,0.822,197199,300420-104,2019-08-26,2019-08-26
2019-08-25,,(REACH initiative) The Of Afghanistan Multi-Sector Need Assessment,484728,"United Kingdom, Government of",Government,GBR,2022,2022,Afghanistan Humanitarian Response Plan 2022,HAFG22,1100,Agency for Technical Cooperation and Development,NGO,Coordination and support services,AFG,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2019-08-25,2022-04-21,Multiyear,371786,GBP,0.767,197205,300420-105,2019-08-26,2022-07-13
2019-08-25,,Humanitarian assistance,0,"United Kingdom, Government of",Government,GBR,2019,2023,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,AFG,,,,2019,2023,financial,Parked,Traditional aid,incoming,shared,commitment,2019-08-25,,Multiyear,0,GBP,0.788,197213,300420-101,2019-08-26,2020-08-24
2019-08-25,,Humanitarian assistance,5076142,"United Kingdom, Government of",Government,GBR,2022,2022,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,AFG,,,,2022,2022,financial,Standard,Cash transfer programming (CTP),incoming,single,commitment,2019-08-25,,Multiyear,4000000,GBP,0.788,197217,300420-101,2019-08-26,2019-08-26
