countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,158,Coordination,11500000,23301463,203
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,150,Emergency shelter and NFIs,46645288,14039028,30
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,151,Food security and agriculture,61056037,15431008,25
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,152,Health,39782321,23451996,59
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,156,Multipurpose cash/ IDPs/ multisector,21900858,441609,2
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,153,Nutrition,68746962,67995723,99
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,154,Protection,49659656,11267479,23
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,155,WASH,23141902,5488040,24
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,,Not specified,,132157471,
AFG,512,Afghanistan 2016,HAFG16,2016-01-01,2016-12-31,2016,,Multiple clusters/sectors (shared),,0,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,199,Emergency Shelter and NFIs,28000000,,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,198,Food Security and Agriculture,30500000,7766779,25
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,201,Health,5400000,,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,203,Nutirition,1000000,,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,200,Protection,10000000,5000000,50
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,197,Refugees and Returnees,73200000,47608789,65
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,202,"Water, Sanitation and Hygiene",4000000,,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,,Not specified,,8119420,
AFG,525,Afghanistan Flash Appeal: One million people on the move (September - December 2016),FAFG16,2016-09-01,2016-12-31,2016,,Multiple clusters/sectors (shared),,0,
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2828,COORDINATION AND SUPPORT SERVICES,11500000,12729875,111
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2820,EMERGENCY SHELTER AND NFIs,39917000,5470535,14
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2822,FOOD SECURITY AND AGRICULTURE,92114950,44885889,49
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2823,HEALTH,38834700,22686163,58
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2818,LOGISTICS/ UNHAS Flights,16800000,13164372,78
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2824,MULTI-SECTOR,88945605,18350703,21
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2825,NUTRITION,63262622,41622537,66
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2826,PROTECTION,39959655,9605905,24
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,2827,"WATER,SANITATION AND HYGIENE",25331600,16827935,66
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,,Not specified,,147176144,
AFG,462,Afghanistan 2015,HAFG15,2015-01-01,2015-12-31,2015,,Multiple clusters/sectors (shared),,0,
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2456,COORDINATION AND SUPPORT SERVICES,11679732,15853948,136
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2448,EMERGENCY SHELTER AND NFIs,28744000,19520480,68
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2450,FOOD SECURITY AND AGRICULTURE,148955000,62399918,42
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2451,HEALTH,43600000,18287484,42
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2446,LOGISTICS/ UNHAS Flights,20238873,17400755,86
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2452,MULTI-SECTOR,58090000,48396611,83
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2453,NUTRITION,47900000,46691634,97
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2454,PROTECTION,30722290,24304980,79
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,2455,"WATER,SANITATION AND HYGIENE",16500000,10542083,64
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,,Not specified,,102225807,
AFG,426,Afghanistan 2014,HAFG14,2014-01-01,2014-12-31,2014,,Multiple clusters/sectors (shared),,0,
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1261,COORDINATION AND SUPPORT SERVICES,30362477,21939152,72
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1252,EDUCATION,8511000,2477111,29
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1253,EMERGENCY SHELTER AND NFIs,20021000,32197337,161
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1255,FOOD SECURITY AND AGRICULTURE,103428067,60854418,59
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1256,HEALTH,16913808,14299770,85
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1257,MULTI-SECTOR,113878660,39021965,34
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1258,NUTRITION,43473613,71547920,165
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1259,PROTECTION,111839755,60929067,54
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,1260,"WATER,SANITATION AND HYGIENE",26000000,24231415,93
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,,Not specified,,17748452,
AFG,399,Afghanistan 2013,CAFG13,2013-01-01,2013-12-31,2013,,Multiple clusters/sectors (shared),,0,
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,999,COORDINATION,15194988,6143484,40
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,990,EDUCATION,20867803,6173884,30
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,991,EMERGENCY SHELTER,28280274,10801023,38
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,992,EMERGENCY TELECOMMUNICATIONS,200000,,
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,993,FOOD SECURITY AND AGRICULTURE,114714978,63201888,55
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,994,HEALTH,32857092,11446222,35
AFG,370,Afghanistan 2012,CAFG1112,2011-11-30,2012-12-31,2012,989,LOGISTICS,21970768,16001069,73
